"genre","series_title","gross","imdb_rating","director"
"Comedy","Young Frankenstein",86300000,"8","Mel Brooks"
"Comedy, Drama, Romance","Rushmore",17105219,"7.7","Wes Anderson"
"Comedy, Drama","Withnail & I",1544889,"7.7","Bruce Robinson"
"Comedy, Drama, Fantasy","Being John Malkovich",22858926,"7.7","Spike Jonze"
"Comedy, Drama, Romance","Jeux d'enfants",548707,"7.6","Yann Samuell"
"Comedy, Drama, Music","La La Land",151101803,"8","Damien Chazelle"
"Comedy, Crime","My Cousin Vinny",52929168,"7.6","Jonathan Lynn"
"Comedy, Drama, Family","The Sandlot",32416586,"7.8","David Mickey Evans"
"Comedy, Drama, Romance","Moonrise Kingdom",45512466,"7.8","Wes Anderson"
"Comedy, Drama, Romance","The Graduate",104945305,"8","Mike Nichols"
"Comedy, Drama, Romance","Marriage Story",2000000,"7.9","Noah Baumbach"
"Comedy, Horror","What We Do in the Shadows",3333000,"7.7","Jemaine Clement"
"Comedy, Drama, Romance","City Lights",19181,"8.5","Charles Chaplin"
"Comedy, Drama, Romance","The Quiet Man",10550000,"7.7","John Ford"
"Comedy, Crime, Drama","The Long Goodbye",959000,"7.6","Robert Altman"
"Comedy, Drama, Family","English Vinglish",1670773,"7.8","Gauri Shinde"
"Comedy, Drama, Family","Miracle on 34th Street",2650000,"7.9","George Seaton"
"Comedy, Music, Musical","A Night at the Opera",2537520,"7.9","Sam Wood"
"Comedy","Life of Brian",20045115,"8.1","Terry Jones"
"Comedy, Crime","The Naked Gun: From the Files of Police Squad!",78756177,"7.6","David Zucker"
"Comedy, Drama, Fantasy","About Time",15322921,"7.8","Richard Curtis"
"Comedy, Crime, Drama","Three Billboards Outside Ebbing, Missouri",54513740,"8.2","Martin McDonagh"
"Comedy, Drama","Zindagi Na Milegi Dobara",3108485,"8.1","Zoya Akhtar"
"Comedy, Drama, Romance","La vita è bella",57598247,"8.6","Roberto Benigni"
"Comedy, Drama, Family","Modern Times",163245,"8.5","Charles Chaplin"
"Comedy, Drama, Music","Hedwig and the Angry Inch",3029081,"7.7","John Cameron Mitchell"
"Comedy, Drama, Thriller","Gisaengchung",53367844,"8.6","Bong Joon Ho"
"Comedy, Drama","The Breakfast Club",45875171,"7.8","John Hughes"
"Comedy, Drama, Fantasy","OMG: Oh My God!",923221,"8.1","Umesh Shukla"
"Comedy, Crime, Drama","Rang De Basanti",2197331,"8.2","Rakeysh Omprakash Mehra"
"Comedy","Airplane!",83400000,"7.7","Jim Abrahams"
"Comedy, Drama, Romance","The Shop Around the Corner",203300,"8.1","Ernst Lubitsch"
"Comedy, Drama, Thriller","Relatos salvajes",3107072,"8.1","Damián Szifron"
