"yearlygross","director"
"35893537","James Marsh"
"35811509","Scott Hicks"
"35061555","Nicolas Winding Refn"
"35014192","Jonathan Levine"
"34700291","Roland Joffé"
"34400301","Michel Gondry"
"33800859","Taylor Sheridan"
"32534850","Cameron Crowe"
"32481825","Joe Johnston"
"32416586","David Mickey Evans"
"32381218","Dan Gilroy"
"30177511","Hal Ashby"
"27298285","Jean-Marc Vallée"
"27281507","Brian Henson"
"26924659","S.S. Rajamouli"
"26862450","David Mackenzie"
"26020957","Aneesh Chaganty"
"25771214","David Lynch"
"25442958","Alex Garland"
"25000000","Robert Clouse"
"24633730","Ronny Yu"
"24475416","Billy Bob Thornton"
"23530892","Terry George"
"22954968","James Ivory"
"22494487","Paul McGuigan"
"22490039","Walter Hill"
"22351800","Walter Salles"
"22293616","Stanley Donen"
"22276975","Anthony Harvey"
"21995263","Stephen Daldry"
"21848932","Michael Radford"
"21500000","Philip Kaufman"
"20734607","Pedro Almodóvar"
"20605209","Bob Clark"
"20318735","Federico Fellini"
"20045115","Terry Jones"
"19371000","Howard Hawks"
"19366573","Rajkumar Hirani"
"19202743","Hiromasa Yonebayashi"
"18354356","Sean Penn"
"18340051","Joseph Kosinski"
"18095701","Luca Guadagnino"
"17654912","Alexander Payne"
"17605861","Kevin Macdonald"
"17600000","Elia Kazan"
"17570324","Richard Brooks"
"17550741","Terence Young"
"17266971","Robert De Niro"
"17114882","David Cronenberg"
"17108591","Stephen Chow"
"17005000","John Sturges"
"16260000","Otto Preminger"
"16217773","Stuart Rosenberg"
"15322921","Richard Curtis"
"15186597","Mike Leigh"
"15070285","Mary Harron"
"14677674","Lenny Abrahamson"
"14378331","Alex Proyas"
"13960000","Frank Capra"
"13780024","Richard Lester"
"13657115","Gavin O'Connor"
"13290336","Nitesh Tiwari"
"13182281","Olivier Nakache"
"13122642","Tyler Nilson"
"12677041","John Carney"
"12334961","Giuseppe Tornatore"
"12064472","Sam Peckinpah"
"11487676","Wolfgang Petersen"
"11370901","Charles Chaplin"
"11286112","Florian Henckel von Donnersmarck"
"10983957","Michael Powell"
"10937817","Asghar Farhadi"
"10824921","Mike Judge"
"10725228","James Foley"
"10605000","John Ford"
"10301706","Olivier Dahan"
"10095170","Niels Arden Oplev"
"10000000","Merian C. Cooper"
"9755113","Lars von Trier"
"9170214","Lasse Hallström"
"9030581","Mark Herman"
"8962139","Michael Haneke"
"8833240","Krzysztof Kieslowski"
"8675019","Zoya Akhtar"
"8284000","Robert Rossen"
"8239688","Ingmar Bergman"
"8178001","Kabir Khan"
"7658178","John Huston"
"7563397","Fernando Meirelles"
"7267585","Tom Tykwer"
"7069979","Robert Altman"
"7056013","John Boorman"
"7002255","Sylvain Chomet"
"6791041","Tony Kaye"
"6743776","Alfonso Gomez-Rejon"
"6735118","Dorota Kobiela"
"6730926","Gareth Evans"
"6391436","Juan José Campanella"
"5990075","Julian Schnabel"
"5923044","Sam Raimi"
"5904366","Sean Baker"
"5875006","Matt Ross"
"5650112","Oliver Hirschbiegel"
"5617391","Kevin Altieri"
"5515956","Wim Wenders"
"5216888","Kaige Chen"
"5189029","George A. Romero"
"5128124","Roger Donaldson"
"5017246","Makoto Shinkai"
"5009677","Duncan Jones"
"5005560","Michael Curtiz"
"4890878","Peter Mullan"
