"yearlygross","star1"
"40442052","Ben Whishaw"
"39393316","Audrey Tautou"
"39100000","Andrew Marton"
"38634938","Charlie Cox"
"37707719","Judi Dench"
"37634615","Ivana Baquero"
"37509588","Cary Grant"
"37180139","Simon Pegg"
"35896942","Geoffrey Rush"
"35893537","Eddie Redmayne"
"35739802","Angelina Jolie"
"35552383","Julianne Moore"
"35014192","Joseph Gordon-Levitt"
"35000000","Brad Davis"
"34702325","Ethan Hawke"
"34700291","Sam Waterston"
"33969893","Kirk Douglas"
"33800859","Kelsey Asbille"
"32643754","Adrien Brody"
"32534850","Billy Crudup"
"32416586","Tom Guiry"
"32391374","Zooey Deschanel"
"32108251","Aamir Khan"
"32015231","Bryan Cranston"
"32000000","Anthony Perkins"
"31011824","Daniel Brühl"
"30933743","Ryan O'Neal"
"30500000","Burt Lancaster"
"30453413","Peter Sellers"
"30328156","Jason Statham"
"29133000","Timothy Bottoms"
"28350000","Paul Scofield"
"28341469","Tim Robbins"
"28083092","Anthony Hopkins"
"27545445","Danny Aiello"
"27281507","Michael Caine"
"26924659","Prabhas"
"26236603","Mickey Rourke"
"26020957","John Cho"
"25544867","Guy Pearce"
"25514517","Nathan Fillion"
"25442958","Alicia Vikander"
"25379975","Ellar Coltrane"
"25000000","Bruce Lee"
"25000000","Marilyn Monroe"
"24801212","Chris Evans"
"24475416","Billy Bob Thornton"
"24379978","Sidney Poitier"
"24335125","Naomi Watts"
"23650000","Myrna Loy"
"23159305","Eli Marienthal"
"23089926","Scarlett Johansson"
"23085000","John Wayne"
"22858926","John Cusack"
"22490039","Michael Beck"
"22244207","Bob Geldof"
"21995263","Jamie Bell"
"21848932","Massimo Troisi"
"21500000","Sam Shepard"
"20605209","Peter Billingsley"
"20045115","Graham Chapman"
"19566690","Marcello Mastroianni"
"19501238","Jean Reno"
"19202743","Amy Poehler"
"18593156","Frank Langella"
"18354356","Emile Hirsch"
"18340051","Josh Brolin"
"18254702","Martin Landau"
"18095701","Armie Hammer"
"17738570","Logan Lerman"
"17654912","Bruce Dern"
"17570324","Elizabeth Taylor"
"17108591","Stephen Chow"
"17105219","Jason Schwartzman"
"16756372","Gael García Bernal"
"16056255","Edward Fox"
"15688088","Brie Larson"
"15545279","Paddy Considine"
"15322921","Domhnall Gleeson"
"15222738","Humphrey Bogart"
"15090400","Cate Blanchett"
"14378331","Rufus Sewell"
"13782838","Kurt Russell"
"13780024","John Lennon"
"13756082","Ken Watanabe"
"13622333","Maribel Verdú"
"13417292","Timothy Spall"
"13182281","Éric Toledano"
"13122642","Michael Schwartz"
"13092000","Miles Teller"
"12281500","Christian Slater"
"11990401","Philippe Noiret"
