"genre","series_title","gross","imdb_rating","director"
"Action, Biography, Crime","Paan Singh Tomar",39567,"8.2","Tigmanshu Dhulia"
"Action, Biography, Drama","Tombstone",56505065,"7.8","George P. Cosmatos"
"Action, Crime, Drama","Tropa de Elite",8060,"8","José Padilha"
"Action, Biography, Drama","Rush",26947624,"8.1","Ron Howard"
"Action, Crime, Drama","Mou gaan dou",169659,"8","Andrew Lau"
"Action, Crime, Drama","Sicario",46889293,"7.6","Denis Villeneuve"
"Action, Mystery, Thriller","The Bourne Ultimatum",227471070,"8","Paul Greengrass"
"Action, Crime, Drama","Enter the Dragon",25000000,"7.7","Robert Clouse"
"Action, Drama, Sci-Fi","V for Vendetta",70511035,"8.2","James McTeigue"
"Action, Drama","Baahubali 2: The Conclusion",20186659,"8.2","S.S. Rajamouli"
"Action, Comedy, Fantasy","Evil Dead II",5923044,"7.8","Sam Raimi"
"Action, Adventure, Drama","Dawn of the Planet of the Apes",208545589,"7.6","Matt Reeves"
"Action, Crime, Drama","Eastern Promises",17114882,"7.6","David Cronenberg"
"Action, Adventure, Thriller","Goldfinger",51081062,"7.7","Guy Hamilton"
"Action, Comedy, Crime","Lock, Stock and Two Smoking Barrels",3897569,"8.2","Guy Ritchie"
"Action, Crime, Thriller","The Warriors",22490039,"7.6","Walter Hill"
"Action, Crime, Drama","Hell or High Water",26862450,"7.6","David Mackenzie"
"Action, Crime, Comedy","Knockin' on Heaven's Door",3296,"8","Thomas Jahn"
"Action, Adventure, Mystery","Sherlock Holmes",209028679,"7.6","Guy Ritchie"
"Action, Drama, Sci-Fi","Logan",226277068,"8.1","James Mangold"
"Action, Adventure, Drama","The Lord of the Rings: The Two Towers",342551365,"8.7","Peter Jackson"
"Action, Adventure","Batman Begins",206852432,"8.2","Christopher Nolan"
"Action, Crime, Drama","Lord of War",24149632,"7.6","Andrew Niccol"
"Action, Drama","Bãhubali: The Beginning",6738000,"8","S.S. Rajamouli"
"Action, Adventure, Drama","Letters from Iwo Jima",13756082,"7.9","Clint Eastwood"
"Action, Crime, Thriller","The Boondock Saints",25812,"7.8","Troy Duffy"
"Action, Drama, History","Dunkirk",188373161,"7.8","Christopher Nolan"
"Action, Crime, Drama","The French Connection",15630710,"7.7","William Friedkin"
"Action, Adventure, Western","The Wild Bunch",12064472,"7.9","Sam Peckinpah"
"Action, Adventure, Fantasy","Star Wars",322740140,"8.6","George Lucas"
"Action, Drama","300",210614939,"7.6","Zack Snyder"
"Action, Mystery, Thriller","The Bourne Supremacy",176241941,"7.7","Paul Greengrass"
"Action, Adventure, Drama","Avengers: Endgame",858373000,"8.4","Anthony Russo"
"Action, Comedy, Romance","Sherlock Jr.",977375,"8.2","Buster Keaton"
"Action, Adventure, Drama","The Count of Monte Cristo",54234062,"7.8","Kevin Reynolds"
"Action, Adventure, Sci-Fi","Inception",292576195,"8.8","Christopher Nolan"
"Action, Comedy, Fantasy","Kung fu",17108591,"7.7","Stephen Chow"
"Action, Adventure, War","The Dirty Dozen",45300000,"7.7","Robert Aldrich"
"Action, Adventure, Comedy","The Blues Brothers",57229890,"7.9","John Landis"
"Action, Adventure, Comedy","Guardians of the Galaxy",333176600,"8","James Gunn"
"Action, Crime, Thriller","Kill Bill: Vol. 2",66208183,"8","Quentin Tarantino"
"Action, Thriller","Die Hard",83008852,"8.2","John McTiernan"
"Action, Adventure, Sci-Fi","Mad Max 2",12465371,"7.6","George Miller"
"Action, Comedy, Fantasy","Ghostbusters",238632124,"7.8","Ivan Reitman"
"Action, Adventure, Sci-Fi","Iron Man",318412101,"7.9","Jon Favreau"
"Action, Adventure, Comedy","Thor: Ragnarok",315058289,"7.9","Taika Waititi"
"Action, Adventure, Sci-Fi","Predator",59735548,"7.8","John McTiernan"
"Action, Crime, Thriller","Serbuan maut 2: Berandal",2625803,"8","Gareth Evans"
"Action, Biography, Drama","Huo Yuan Jia",24633730,"7.6","Ronny Yu"
