"imdb_rating","gross","genre","series_title","director"
"8",183637894,"Action, Adventure, Drama","The Revenant","Alejandro G. Iñárritu"
"8",184208848,"Adventure, Drama, Western","Dances with Wolves","Kevin Costner"
"8",206445654,"Animation, Adventure, Comedy","Ratatouille","Brad Bird"
"8",216428042,"Biography, Drama, Music","Bohemian Rhapsody","Bryan Singer"
"8",217350219,"Animation, Adventure, Comedy","Aladdin","Ron Clements"
"8",218967620,"Animation, Family, Fantasy","Beauty and the Beast","Gary Trousdale"
"8",227471070,"Action, Mystery, Thriller","The Bourne Ultimatum","Paul Greengrass"
"8",228433663,"Adventure, Drama, Sci-Fi","The Martian","Ridley Scott"
"8",232906145,"Horror","The Exorcist","William Friedkin"
"8",260000000,"Adventure, Thriller","Jaws","Steven Spielberg"
"8",261441092,"Animation, Action, Adventure","The Incredibles","Brad Bird"
"8",305413918,"Action, Adventure, Fantasy","Pirates of the Caribbean: The Curse of the Black Pearl","Gore Verbinski"
"8",333176600,"Action, Adventure, Comedy","Guardians of the Galaxy","James Gunn"
"8",341268248,"Animation, Adventure, Comedy","Zootopia","Byron Howard"
"8",363070709,"Action, Adventure, Comedy","Deadpool","Tim Miller"
"8",623279547,"Action, Adventure, Sci-Fi","The Avengers","Joss Whedon"
"7.9",61001,"Adventure, Drama, Fantasy","La montaña sagrada","Alejandro Jodorowsky"
"7.9",88300,"Drama, Romance","Hiroshima mon amour","Alain Resnais"
"7.9",89029,"Horror, Thriller","Night of the Living Dead","George A. Romero"
"7.9",138730,"Crime, Drama","Bir Zamanlar Anadolu'da","Nuri Bilge Ceylan"
"7.9",188751,"Comedy, Music","This Is Spinal Tap","Rob Reiner"
"7.9",198809,"Comedy","Le charme discret de la bourgeoisie","Luis Buñuel"
"7.9",258168,"Drama","I, Daniel Blake","Ken Loach"
"7.9",296000,"Comedy, Drama, Romance","His Girl Friday","Howard Hawks"
"7.9",349555,"Comedy, Drama, War","Jojo Rabbit","Taika Waititi"
"7.9",410800,"Comedy, Drama, Romance","Jab We Met","Imtiaz Ali"
"7.9",1000045,"Animation, Action, Crime","Cowboy Bebop: Tengoku no tobira","Shin'ichirô Watanabe"
"7.9",1059830,"Comedy, Drama, War","No Man's Land","Danis Tanovic"
"7.9",1185783,"Drama","4 luni, 3 saptamâni si 2 zile","Cristian Mungiu"
"7.9",1221261,"Crime, Drama, Thriller","Nueve reinas","Fabián Bielinsky"
"7.9",1324974,"Drama, Music, Mystery","Trois couleurs: Bleu","Krzysztof Kieslowski"
"7.9",2000000,"Comedy, Drama, Romance","Marriage Story","Noah Baumbach"
"7.9",2084637,"Crime, Drama","Un prophète","Jacques Audiard"
"7.9",2122065,"Crime, Drama, Fantasy","Låt den rätte komma in","Tomas Alfredson"
"7.9",2201126,"Crime, Drama","Once Were Warriors","Lee Tamahori"
"7.9",2280348,"Adventure, Drama, Fantasy","The Fall","Tarsem Singh"
"7.9",2537520,"Comedy, Music, Musical","A Night at the Opera","Sam Wood"
"7.9",2650000,"Comedy, Drama, Family","Miracle on 34th Street","George Seaton"
"7.9",3237118,"Comedy, Drama, Music","Sing Street","John Carney"
"7.9",3313513,"Crime, Drama","Manbiki kazoku","Hirokazu Koreeda"
"7.9",3635164,"Drama, Music","Les choristes","Christophe Barratier"
"7.9",3981000,"Action, Adventure, Romance","The Adventures of Robin Hood","Michael Curtiz"
"7.9",5009677,"Drama, Mystery, Sci-Fi","Moon","Duncan Jones"
"7.9",5100000,"Action, Adventure, Horror","Dawn of the Dead","George A. Romero"
"7.9",5202582,"Adventure, Comedy, Drama","Hunt for the Wilderpeople","Taika Waititi"
"7.9",5875006,"Comedy, Drama","Captain Fantastic","Matt Ross"
"7.9",6540000,"Crime, Film-Noir, Mystery","The Big Sleep","Howard Hawks"
"7.9",6739492,"Drama, Romance","Amour","Michael Haneke"
"7.9",7000000,"Biography, Crime, Drama","The Irishman","Martin Scorsese"
"7.9",7220243,"Drama, Mystery, Thriller","Mulholland Dr.","David Lynch"
"7.9",7630000,"Crime, Film-Noir, Thriller","Strangers on a Train","Alfred Hitchcock"
"7.9",7757130,"Comedy, Crime, Drama","In Bruges","Martin McDonagh"
"7.9",8114627,"Drama, Romance","Before Midnight","Richard Linklater"
"7.9",9284265,"Drama, Mystery, Romance","Hable con ella","Pedro Almodóvar"
"7.9",9450000,"Drama, Thriller, Western","High Noon","Fred Zinnemann"
"7.9",9460000,"Drama, Film-Noir","The Lost Weekend","Billy Wilder"
"7.9",9929135,"Drama, Sci-Fi","Brazil","Terry Gilliam"
"7.9",10000000,"Adventure, Horror, Sci-Fi","King Kong","Merian C. Cooper"
"7.9",10464000,"Drama, Film-Noir, Romance","Notorious","Alfred Hitchcock"
"7.9",12064472,"Action, Adventure, Western","The Wild Bunch","Sam Peckinpah"
"7.9",12281500,"Crime, Drama, Romance","True Romance","Tony Scott"
"7.9",13474588,"Comedy, Mystery, Romance","Charade","Stanley Donen"
"7.9",13542874,"Comedy, Horror","Shaun of the Dead","Edgar Wright"
"7.9",13756082,"Action, Adventure, Drama","Letters from Iwo Jima","Clint Eastwood"
"7.9",14743391,"Biography, Drama","My Left Foot: The Story of Christy Brown","Jim Sheridan"
"7.9",18095701,"Drama, Romance","Call Me by Your Name","Luca Guadagnino"
"7.9",18254702,"Comedy, Drama","Crimes and Misdemeanors","Woody Allen"
"7.9",20605209,"Comedy, Family","A Christmas Story","Bob Clark"
"7.9",21002919,"Animation, Adventure, Comedy","Fantastic Mr. Fox","Wes Anderson"
"7.9",22276975,"Biography, Drama, History","The Lion in Winter","Anthony Harvey"
"7.9",24379978,"Crime, Drama, Mystery","In the Heat of the Night","Norman Jewison"
"7.9",25379975,"Drama","Boyhood","Richard Linklater"
"7.9",26236603,"Drama, Sport","The Wrestler","Darren Aronofsky"
"7.9",26400640,"Drama","Boogie Nights","Paul Thomas Anderson"
"7.9",30000000,"Adventure, Biography, Drama","Spartacus","Stanley Kubrick"
"7.9",32015231,"Animation, Adventure, Comedy","Isle of Dogs","Wes Anderson"
"7.9",32381218,"Crime, Drama, Thriller","Nightcrawler","Dan Gilroy"
"7.9",32534850,"Adventure, Comedy, Drama","Almost Famous","Cameron Crowe"
"7.9",35552383,"Adventure, Drama, Sci-Fi","Children of Men","Alfonso Cuarón"
"7.9",36948322,"Crime, Drama, Thriller","Carlito's Way","Brian De Palma"
"7.9",37823676,"Drama, Music, Musical","All That Jazz","Bob Fosse"
"7.9",40084041,"Comedy, Drama","Hannah and Her Sisters","Woody Allen"
"7.9",44671682,"Comedy, Drama, Romance","The Artist","Michel Hazanavicius"
"7.9",45700000,"Comedy, Drama, Romance","Manhattan","Woody Allen"
"7.9",53710019,"Action, Adventure, History","Ying xiong","Yimou Zhang"
"7.9",56362352,"Drama, Fantasy, Romance","Edward Scissorhands","Tim Burton"
"7.9",57229890,"Action, Adventure, Comedy","The Blues Brothers","John Landis"
"7.9",61700000,"Biography, Drama, War","Patton","Franklin J. Schaffner"
"7.9",70600000,"Biography, Drama, History","All the President's Men","Alan J. Pakula"
"7.9",76270454,"Crime, Drama, Thriller","The Untouchables","Brian De Palma"
"7.9",90135191,"Crime, Drama, Mystery","Mystic River","Clint Eastwood"
"7.9",93740000,"Adventure, Drama","The Ten Commandments","Cecil B. DeMille"
"7.9",100206256,"Action, Adventure, Sci-Fi","Edge of Tomorrow","Doug Liman"
"7.9",100546139,"Drama, Sci-Fi","Arrival","Denis Villeneuve"
"7.9",115646235,"Action, Sci-Fi, Thriller","District 9","Neill Blomkamp"
"7.9",121661683,"Action, Mystery, Thriller","The Bourne Identity","Doug Liman"
"7.9",124987023,"Adventure, Drama, Fantasy","Life of Pi","Ang Lee"
"7.9",165359751,"Comedy, Crime, Drama","Knives Out","Rian Johnson"
"7.9",233921534,"Action, Adventure, Sci-Fi","X-Men: Days of Future Past","Bryan Singer"
"7.9",245852179,"Animation, Adventure, Comedy","Toy Story 2","John Lasseter"
"7.9",249358727,"Adventure, Family, Fantasy","Harry Potter and the Prisoner of Azkaban","Alfonso Cuarón"
"7.9",257730019,"Action, Adventure, Sci-Fi","Star Trek","J.J. Abrams"
"7.9",315058289,"Action, Adventure, Comedy","Thor: Ragnarok","Taika Waititi"
"7.9",318412101,"Action, Adventure, Sci-Fi","Iron Man","Jon Favreau"
"7.9",936662225,"Action, Adventure, Sci-Fi","Star Wars: Episode VII - The Force Awakens","J.J. Abrams"
"7.8",1305,"Comedy, Crime, Drama","Adams æbler","Anders Thomas Jensen"
"7.8",3600,"Drama, Fantasy, Romance","Mr. Nobody","Jaco Van Dormael"
"7.8",6460,"Action, Crime, Drama","Ajeossi","Jeong-beom Lee"
"7.8",15280,"Drama","Ondskan","Mikael Håfström"
"7.8",25812,"Action, Crime, Thriller","The Boondock Saints","Troy Duffy"
"7.8",85433,"Crime, Drama, Mystery","La migliore offerta","Giuseppe Tornatore"
"7.8",128392,"Action, Crime, Drama","Ang-ma-reul bo-at-da","Jee-woon Kim"
"7.8",128985,"Animation, Adventure, Comedy","Tôkyô goddofâzâzu","Satoshi Kon"
"7.8",169209,"Comedy, Romance","Vicky Donor","Shoojit Sircar"
"7.8",181655,"Crime, Drama","Lilja 4-ever","Lukas Moodysson"
"7.8",193817,"Animation, Sci-Fi","La planète sauvage","René Laloux"
"7.8",233986,"Crime, Drama, Romance","Hana-bi","Takeshi Kitano"
"7.8",336705,"Crime, Drama","À bout de souffle","Jean-Luc Godard"
"7.8",435266,"Drama, History, War","Under sandet","Martin Zandvliet"
"7.8",547292,"Crime, Drama, Mystery","Madeo","Bong Joon Ho"
"7.8",741283,"Drama","Auf der anderen Seite","Fatih Akin"
"7.8",1330596,"Drama, Mystery","Le passé","Asghar Farhadi"
"7.8",1436000,"Comedy, Crime, Drama","Down by Law","Jim Jarmusch"
"7.8",1670773,"Comedy, Drama, Family","English Vinglish","Gauri Shinde"
"7.8",1769305,"Comedy, Drama","Naked","Mike Leigh"
"7.8",1782795,"Biography, Drama, Sport","M.S. Dhoni: The Untold Story","Neeraj Pandey"
"7.8",1999955,"Drama, Fantasy, Music","La double vie de Véronique","Krzysztof Kieslowski"
"7.8",2015810,"Comedy, Drama","Night on Earth","Jim Jarmusch"
"7.8",2222647,"Drama, History, Mystery","Das weiße Band - Eine deutsche Kindergeschichte","Michael Haneke"
"7.8",2402067,"Drama","Forushande","Asghar Farhadi"
"7.8",2500000,"Comedy, Crime, Drama","The King of Comedy","Martin Scorsese"
"7.8",2616000,"Horror","The Innocents","Jack Clayton"
"7.8",2852400,"Drama","La grande bellezza","Paolo Sorrentino"
"7.8",2892011,"Animation, Drama, Fantasy","Waking Life","Richard Linklater"
"7.8",2921738,"Drama, Family, Musical","Veer-Zaara","Yash Chopra"
"7.8",4000000,"Family, Fantasy, Musical","Willy Wonka & the Chocolate Factory","Mel Stuart"
"7.8",4040691,"Drama","Breaking the Waves","Lars von Trier"
"7.8",4231500,"Drama, Romance","The Lunchbox","Ritesh Batra"
"7.8",4360000,"Drama, Horror, Sci-Fi","Bride of Frankenstein","James Whale"
"7.8",4420000,"Drama, Mystery, Thriller","The Conversation","Francis Ford Coppola"
"7.8",5128124,"Biography, Drama, Sport","The World's Fastest Indian","Roger Donaldson"
"7.8",5209580,"Animation, Biography, Drama","Kaze tachinu","Hayao Miyazaki"
"7.8",5617391,"Animation, Action, Crime","Batman: Mask of the Phantasm","Kevin Altieri"
"7.8",5887457,"Biography, Comedy, Drama","Ed Wood","Tim Burton"
"7.8",5923044,"Action, Comedy, Fantasy","Evil Dead II","Sam Raimi"
"7.8",6735118,"Animation, Biography, Crime","Loving Vincent","Dorota Kobiela"
"7.8",7002255,"Animation, Comedy, Drama","Les triplettes de Belleville","Sylvain Chomet"
"7.8",8264530,"Drama","Todo sobre mi madre","Pedro Almodóvar"
"7.8",9030581,"Drama, History, War","The Boy in the Striped Pyjamas","Mark Herman"
"7.8",9170214,"Drama","What's Eating Gilbert Grape","Lasse Hallström"
"7.8",9439923,"Drama, Music, Romance","Once","John Carney"
"7.8",10095170,"Crime, Drama, Mystery","Män som hatar kvinnor","Niels Arden Oplev"
"7.8",12339633,"Drama, Sci-Fi, Thriller","Gattaca","Andrew Niccol"
"7.8",15322921,"Comedy, Drama, Fantasy","About Time","Richard Curtis"
"7.8",16056255,"Crime, Drama, Thriller","The Day of the Jackal","Fred Zinnemann"
"7.8",16756372,"Adventure, Biography, Drama","Diarios de motocicleta","Walter Salles"
"7.8",17266971,"Crime, Drama, Romance","A Bronx Tale","Robert De Niro"
"7.8",17550741,"Thriller","Wait Until Dark","Terence Young"
"7.8",21500000,"Adventure, Biography, Drama","The Right Stuff","Philip Kaufman"
"7.8",22954968,"Drama, Romance","The Remains of the Day","James Ivory"
"7.8",23637265,"Action, Comedy, Mystery","Hot Fuzz","Edgar Wright"
"7.8",25514517,"Action, Adventure, Sci-Fi","Serenity","Joss Whedon"
"7.8",26830000,"Biography, Drama, History","Glory","Edward Zwick"
"7.8",28965197,"Biography, Drama, Thriller","The Insider","Michael Mann"
"7.8",31800000,"Western","The Outlaw Josey Wales","Clint Eastwood"
"7.8",32416586,"Comedy, Drama, Family","The Sandlot","David Mickey Evans"
"7.8",32481825,"Biography, Drama, Family","October Sky","Joe Johnston"
"7.8",34603943,"Crime, Drama, History","Mississippi Burning","Alan Parker"
"7.8",34700291,"Biography, Drama, History","The Killing Fields","Roland Joffé"
"7.8",35061555,"Crime, Drama","Drive","Nicolas Winding Refn"
"7.8",38405088,"Drama, Romance","Pride & Prejudice","Joe Wright"
"7.8",39100000,"Action, Drama, History","The Longest Day","Ken Annakin"
"7.8",40442052,"Adventure, Comedy, Family","Paddington 2","Paul King"
"7.8",42765000,"Drama, Music, Musical","Cabaret","Bob Fosse"
"7.8",44785053,"Drama","Midnight Cowboy","John Schlesinger"
"7.8",45512466,"Comedy, Drama, Romance","Moonrise Kingdom","Wes Anderson"
"7.8",45875171,"Comedy, Drama","The Breakfast Club","John Hughes"
"7.8",47695120,"Drama","Manchester by the Sea","Kenneth Lonergan"
"7.8",48023088,"Animation, Action, Adventure","Kubo and the Two Strings","Travis Knight"
"7.8",48323648,"Action, Drama, Mystery","The Game","David Fincher"
"7.8",50866635,"Action, Adventure, Drama","Apocalypto","Mel Gibson"
"7.8",50927067,"Drama, Mystery, Romance","Atonement","Joe Wright"
"7.8",52096475,"Biography, Drama","Awakenings","Penny Marshall"
"7.8",54117416,"Crime, Drama, Mystery","The Hateful Eight","Quentin Tarantino"
"7.8",54234062,"Action, Adventure, Drama","The Count of Monte Cristo","Kevin Reynolds"
"7.8",56505065,"Action, Biography, Drama","Tombstone","George P. Cosmatos"
"7.8",56700000,"Comedy, Drama","Guess Who's Coming to Dinner","Stanley Kramer"
"7.8",57504069,"Crime, Drama","Boyz n the Hood","John Singleton"
"7.8",59735548,"Action, Adventure, Sci-Fi","Predator","John McTiernan"
"7.8",59891098,"Comedy, Drama","Little Miss Sunshine","Jonathan Dayton"
"7.8",61276872,"Drama, Thriller","Misery","Rob Reiner"
"7.8",61503218,"Adventure, Comedy, Family","The Goonies","Richard Donner"
"7.8",70136369,"Comedy","Ferris Bueller's Day Off","John Hughes"
"7.8",70259870,"Biography, Comedy, Drama","The Big Short","Adam McKay"
"7.8",72000000,"Drama, Family, Musical","My Fair Lady","George Cukor"
"7.8",81001787,"Drama, Romance","The Notebook","Nick Cassavetes"
"7.8",93617009,"Biography, Drama, Sport","The Fighter","David O. Russell"
"7.8",98467863,"Drama","The Color Purple","Steven Spielberg"
"7.8",102272727,"Comedy, Family, Fantasy","Mary Poppins","Robert Stevenson"
"7.8",102515793,"Crime, Drama, Mystery","The Girl with the Dragon Tattoo","David Fincher"
"7.8",106260000,"Drama","Kramer vs. Kramer","Robert Benton"
"7.8",107100855,"Adventure, Biography, Crime","Captain Phillips","Paul Greengrass"
"7.8",108101214,"Drama, Romance","Little Women","Greta Gerwig"
"7.8",115654751,"Biography, Drama, Sport","Remember the Titans","Boaz Yakin"
"7.8",118500000,"Adventure, Comedy, Sci-Fi","Back to the Future Part II","Robert Zemeckis"
"7.8",119519402,"Biography, Drama, Music","Walk the Line","James Mangold"
"7.8",127509326,"Drama, Fantasy, Romance","The Curious Case of Benjamin Button","David Fincher"
"7.8",128078872,"Action, Adventure, Fantasy","Wo hu cang long","Ang Lee"
"7.8",130164645,"Biography, Crime, Drama","American Gangster","Ridley Scott"
"7.8",145000989,"Action, Thriller","Taken","Pierre Morel"
"7.8",161197785,"Biography, Drama, History","Straight Outta Compton","F. Gary Gray"
"7.8",169607287,"Biography, Drama, History","Hidden Figures","Theodore Melfi"
"7.8",177002924,"Animation, Action, Adventure","How to Train Your Dragon 2","Dean DeBlois"
"7.8",183875760,"Action, Crime, Drama","The Fugitive","Andrew Davis"
"7.8",188373161,"Action, Drama, History","Dunkirk","Christopher Nolan"
"7.8",222527828,"Animation, Action, Adventure","Big Hero 6","Don Hall"
"7.8",233632142,"Adventure, Drama, Romance","Cast Away","Robert Zemeckis"
"7.8",238632124,"Action, Comedy, Fantasy","Ghostbusters","Ivan Reitman"
"7.8",258366855,"Adventure, Fantasy","The Hobbit: The Desolation of Smaug","Peter Jackson"
"7.8",267665011,"Animation, Adventure, Comedy","Shrek","Andrew Adamson"
"7.8",303003568,"Adventure, Fantasy","The Hobbit: An Unexpected Journey","Peter Jackson"
"7.8",408084349,"Action, Adventure, Sci-Fi","Captain America: Civil War","Anthony Russo"
"7.8",434038008,"Animation, Adventure, Comedy","Toy Story 4","Josh Cooley"
"7.8",435110554,"Family, Sci-Fi","E.T. the Extra-Terrestrial","Steven Spielberg"
"7.8",532177324,"Action, Adventure, Sci-Fi","Rogue One","Gareth Edwards"
"7.8",659325379,"Drama, Romance","Titanic","James Cameron"
"7.8",760507625,"Action, Adventure, Fantasy","Avatar","James Cameron"
"7.7",26331,"Drama, Romance","Belle de jour","Luis Buñuel"
"7.7",52709,"Drama, Horror","Les yeux sans visage","Georges Franju"
"7.7",71177,"Drama","Detachment","Tony Kaye"
"7.7",83861,"Drama, War","Beasts of No Nation","Cary Joji Fukunaga"
"7.7",83957,"Drama, Horror, Thriller","Peeping Tom","Michael Powell"
"7.7",141072,"Drama, Thriller","Das Experiment","Oliver Hirschbiegel"
"7.7",151086,"Animation, Action, Fantasy","Vampire Hunter D: Bloodlust","Yoshiaki Kawajiri"
"7.7",175058,"Drama, Music, Romance","The Broken Circle Breakdown","Felix van Groeningen"
"7.7",327919,"Crime, Drama","This Is England","Shane Meadows"
"7.7",335609,"Drama, Romance","God's Own Country","Francis Lee"
"7.7",368234,"Drama, Mystery, Sci-Fi","Abre los ojos","Alejandro Amenábar"
"7.7",412544,"Drama","Efter brylluppet","Susanne Bier"
"7.7",536118,"Adventure, Drama, Romance","The African Queen","John Huston"
"7.7",765127,"Animation, Drama, Family","Omoide no Mânî","James Simone"
"7.7",871577,"Biography, Drama, Music","Control","Anton Corbijn"
"7.7",881302,"Animation, Drama, Fantasy","Papurika","Satoshi Kon"
"7.7",985912,"Drama, Music, Musical","Rockstar","Imtiaz Ali"
"7.7",1054361,"Drama, History, Music","Joyeux Noël","Christian Carion"
"7.7",1082715,"Drama, Thriller","The Machinist","Brad Anderson"
"7.7",1122527,"Drama, Sport","Kai po che!","Abhishek Kapoor"
"7.7",1339152,"Animation, Adventure, Drama","Le Petit Prince","Mark Osborne"
"7.7",1544889,"Comedy, Drama","Withnail & I","Bruce Robinson"
"7.7",1752214,"Comedy, Drama, Romance","Flipped","Rob Reiner"
"7.7",1924733,"Drama, Thriller","Le locataire","Roman Polanski"
"7.7",2199675,"Drama, Romance","La vie d'Adèle","Abdellatif Kechiche"
"7.7",2807390,"Comedy, Drama","Happiness","Todd Solondz"
"7.7",3029081,"Comedy, Drama, Music","Hedwig and the Angry Inch","John Cameron Mitchell"
"7.7",3151130,"Comedy","Clerks","Kevin Smith"
"7.7",3333000,"Comedy, Horror","What We Do in the Shadows","Jemaine Clement"
"7.7",3358518,"Comedy, Drama, Romance","En man som heter Ove","Hannes Holm"
"7.7",4064200,"Comedy, Drama, Romance","Good Bye Lenin!","Wolfgang Becker"
"7.7",4065116,"Comedy","Le dîner de cons","Francis Veber"
"7.7",4398392,"Drama, Thriller, War","Zwartboek","Paul Verhoeven"
"7.7",4414535,"Drama","Hamlet","Kenneth Branagh"
"7.7",4890878,"Drama","The Magdalene Sisters","Peter Mullan"
"7.7",4905000,"Action, Adventure, Western","The Magnificent Seven","John Sturges"
"7.7",5080409,"Crime, Drama, Thriller","Miller's Crossing","Joel Coen"
"7.7",6110979,"Comedy, Drama","Short Cuts","Robert Altman"
"7.7",6153939,"Comedy, Drama, Thriller","Barton Fink","Joel Coen"
"7.7",6743776,"Comedy, Drama","Me and Earl and the Dying Girl","Alfonso Gomez-Rejon"
"7.7",7056013,"Adventure, Drama, Thriller","Deliverance","John Boorman"
"7.7",7153487,"Crime, Drama, Mystery","Der Name der Rose","Jean-Jacques Annaud"
"7.7",8551228,"Drama, Mystery, Thriller","Blue Velvet","David Lynch"
"7.7",10019307,"Drama, Family, Fantasy","A Little Princess","Alfonso Cuarón"
"7.7",10550000,"Comedy, Drama, Romance","The Quiet Man","John Ford"
"7.7",10600000,"Comedy, Crime, Drama","After Hours","Martin Scorsese"
"7.7",10631333,"Comedy, Fantasy, Romance","The Purple Rose of Cairo","Woody Allen"
"7.7",10725228,"Crime, Drama, Mystery","Glengarry Glen Ross","James Foley"
"7.7",10824921,"Comedy","Office Space","Mike Judge"
"7.7",11403529,"Drama, Horror, Mystery","The Birds","Alfred Hitchcock"
"7.7",11798616,"Comedy","Zelig","Woody Allen"
"7.7",15090400,"Animation, Adventure, Comedy","Gake no ue no Ponyo","Hayao Miyazaki"
"7.7",15539266,"Drama","In America","Jim Sheridan"
"7.7",15630710,"Action, Crime, Drama","The French Connection","William Friedkin"
"7.7",17105219,"Comedy, Drama, Romance","Rushmore","Wes Anderson"
"7.7",17108591,"Action, Comedy, Fantasy","Kung fu","Stephen Chow"
"7.7",17605861,"Biography, Drama, History","The Last King of Scotland","Kevin Macdonald"
"7.7",17654912,"Adventure, Comedy, Drama","Nebraska","Alexander Payne"
"7.7",18593156,"Biography, Drama, History","Frost/Nixon","Ron Howard"
"7.7",21848932,"Biography, Comedy, Drama","Il postino","Michael Radford"
"7.7",21995263,"Drama, Music","Billy Elliot","Stephen Daldry"
"7.7",22238696,"Action, Drama, History","Empire of the Sun","Steven Spielberg"
"7.7",22245861,"Comedy, Drama","Adaptation.","Spike Jonze"
"7.7",22494487,"Action, Crime, Drama","Lucky Number Slevin","Paul McGuigan"
"7.7",22858926,"Comedy, Drama, Fantasy","Being John Malkovich","Spike Jonze"
"7.7",25000000,"Action, Crime, Drama","Enter the Dragon","Robert Clouse"
"7.7",25442958,"Drama, Sci-Fi, Thriller","Ex Machina","Alex Garland"
"7.7",27281507,"Comedy, Drama, Family","The Muppet Christmas Carol","Brian Henson"
"7.7",28350000,"Biography, Drama, History","A Man for All Seasons","Fred Zinnemann"
"7.7",29800000,"Biography, Crime, Drama","Serpico","Sidney Lumet"
"7.7",32391374,"Comedy, Drama, Romance","(500) Days of Summer","Marc Webb"
"7.7",33080084,"Crime, Drama, Mystery","Zodiac","David Fincher"
"7.7",33800859,"Crime, Drama, Mystery","Wind River","Taylor Sheridan"
"7.7",35739802,"Biography, Crime, Drama","Changeling","Clint Eastwood"
"7.7",35811509,"Biography, Drama, Music","Shine","Scott Hicks"
"7.7",35893537,"Biography, Drama, Romance","The Theory of Everything","James Marsh"
"7.7",35900000,"Action, Crime, Thriller","Dirty Harry","Don Siegel"
"7.7",40311852,"Drama","I Am Sam","Jessie Nelson"
"7.7",41909762,"Biography, Crime, Drama","Donnie Brasco","Mike Newell"
"7.7",42340598,"Comedy, Drama","Birdman or (The Unexpected Virtue of Ignorance)","Alejandro G. Iñárritu"
"7.7",43984230,"Biography, Drama, History","The Last Emperor","Bernardo Bertolucci"
"7.7",44527234,"Comedy","The Odd Couple","Gene Saks"
"7.7",44585453,"Comedy, Drama","Lost in Translation","Sofia Coppola"
"7.7",45300000,"Action, Adventure, War","The Dirty Dozen","Robert Aldrich"
"7.7",45512588,"Adventure, Comedy, Crime","O Brother, Where Art Thou?","Joel Coen"
"7.7",47000000,"Horror, Thriller","Halloween","John Carpenter"
"7.7",47212904,"Action, Adventure","First Blood","Ted Kotcheff"
"7.7",48169908,"Biography, Drama, History","Malcolm X","Spike Lee"
"7.7",51081062,"Action, Adventure, Thriller","Goldfinger","Guy Hamilton"
"7.7",52037603,"Animation, Comedy, Fantasy","South Park: Bigger, Longer & Uncut","Trey Parker"
"7.7",53606916,"Action, Crime, Drama","3:10 to Yuma","James Mangold"
"7.7",54000000,"Drama","The Verdict","Sidney Lumet"
"7.7",54580300,"Crime, Drama, Thriller","Crash","Paul Haggis"
"7.7",54800000,"Drama","Ordinary People","Robert Redford"
"7.7",56116183,"Crime, Drama, Mystery","Primal Fear","Gregory Hoblit"
"7.7",56816662,"Comedy, Fantasy, Romance","Midnight in Paris","Woody Allen"
"7.7",63540020,"Action, Adventure, Sci-Fi","The Fifth Element","Luc Besson"
"7.7",75286229,"Animation, Drama, Family","Coraline","Henry Selick"
"7.7",75331600,"Biography, Drama, Music","Ray","Taylor Hackford"
"7.7",75505856,"Action, Adventure, Drama","The Last of the Mohicans","Michael Mann"
"7.7",76408097,"Animation, Family, Fantasy","Fantasia","James Algar"
"7.7",76631907,"Crime, Drama, Thriller","Training Day","Antoine Fuqua"
"7.7",77324422,"Drama","Philadelphia","Jonathan Demme"
"7.7",77911774,"Action, Crime, Drama","Man on Fire","Tony Scott"
"7.7",78912963,"Action, Adventure, Sci-Fi","Star Trek II: The Wrath of Khan","Nicholas Meyer"
"7.7",82418501,"Drama","Fried Green Tomatoes","Jon Avnet"
"7.7",83043761,"Drama, Romance","Brokeback Mountain","Ang Lee"
"7.7",83400000,"Comedy","Airplane!","Jim Abrahams"
"7.7",96962694,"Biography, Drama","The Social Network","David Fincher"
"7.7",104454762,"Crime, Drama, Thriller","Road to Perdition","Sam Mendes"
"7.7",108638745,"Drama, History, War","Black Hawk Down","Ridley Scott"
"7.7",111110575,"Action, Drama","The Last Samurai","Edward Zwick"
"7.7",119500000,"Comedy, Western","Blazing Saddles","Mel Brooks"
"7.7",124872350,"Drama, Romance","The Fault in Our Stars","Josh Boone"
"7.7",128261724,"Action, Adventure, Comedy","Kingsman: The Secret Service","Matthew Vaughn"
"7.7",132092958,"Comedy, Drama, Romance","Silver Linings Playbook","David O. Russell"
"7.7",136025503,"Biography, Drama, Thriller","Argo","Ben Affleck"
"7.7",141340178,"Drama, Thriller","A Few Good Men","Rob Reiner"
"7.7",146408305,"Action, Adventure, Sci-Fi","X: First Class","Matthew Vaughn"
"7.7",148478011,"Comedy, Drama, Romance","As Good as It Gets","James L. Brooks"
"7.7",156452370,"Animation, Adventure, Comedy","Who Framed Roger Rabbit","Robert Zemeckis"
"7.7",176040665,"Horror, Mystery, Thriller","Get Out","Jordan Peele"
"7.7",176241941,"Action, Mystery, Thriller","The Bourne Supremacy","Paul Greengrass"
"7.7",183417150,"Crime, Thriller","Ocean's Eleven","Steven Soderbergh"
"7.7",189422889,"Animation, Adventure, Comedy","Wreck-It Ralph","Rich Moore"
"7.7",200821936,"Animation, Adventure, Comedy","Tangled","Nathan Greno"
"7.7",220159104,"Action, Adventure, Thriller","Mission: Impossible - Fallout","Christopher McQuarrie"
"7.7",228778661,"Action, Adventure, Sci-Fi","Star Trek Into Darkness","J.J. Abrams"
"7.7",257760692,"Animation, Action, Adventure","The Lego Movie","Christopher Miller"
"7.7",259766572,"Action, Adventure, Sci-Fi","Captain America: The Winter Soldier","Anthony Russo"
