"imdb_rating","gross","genre","series_title","director"
"8.3",1585634,"Drama, Mystery","Citizen Kane","Orson Welles"
"8.3",2832029,"Crime, Drama, Thriller","Reservoir Dogs","Quentin Tarantino"
"8.3",3200000,"Mystery, Romance, Thriller","Vertigo","Alfred Hitchcock"
"8.3",3635482,"Drama","Requiem for a Dream","Darren Aronofsky"
"8.3",5450000,"Comedy, Drama, Family","The Kid","Charles Chaplin"
"8.3",5720000,"Crime, Drama, Film-Noir","Double Indemnity","Billy Wilder"
"8.3",6207725,"Crime, Drama, Sci-Fi","A Clockwork Orange","Stanley Kubrick"
"8.3",6857096,"Drama, Mystery, War","Incendies","Denis Villeneuve"
"8.3",7098492,"Drama","Jodaeiye Nader az Simin","Asghar Farhadi"
"8.3",8819028,"Comedy, Musical, Romance","Singin' in the Rain","Stanley Donen"
"8.3",11487676,"Adventure, Drama, Thriller","Das Boot","Wolfgang Petersen"
"8.3",13275000,"Adventure, Mystery, Thriller","North by Northwest","Alfred Hitchcock"
"8.3",15000000,"Western","Per qualche dollaro in più","Sergio Leone"
"8.3",18600000,"Comedy, Drama, Romance","The Apartment","Billy Wilder"
"8.3",28262574,"Crime, Drama","Taxi Driver","Martin Scorsese"
"8.3",30328156,"Comedy, Crime","Snatch","Guy Ritchie"
"8.3",33225499,"Comedy, Romance","Amélie","Jean-Pierre Jeunet"
"8.3",34400301,"Drama, Romance, Sci-Fi","Eternal Sunshine of the Spotless Mind","Michel Gondry"
"8.3",44824144,"Adventure, Biography, Drama","Lawrence of Arabia","David Lean"
"8.3",45598982,"Crime, Drama","Scarface","Brian De Palma"
"8.3",46357676,"Drama, War","Full Metal Jacket","Stanley Kubrick"
"8.3",51973029,"Biography, Drama, History","Amadeus","Milos Forman"
"8.3",56954992,"Adventure, Sci-Fi","2001: A Space Odyssey","Stanley Kubrick"
"8.3",75600000,"Biography, Drama, History","Braveheart","Mel Gibson"
"8.3",85160248,"Action, Adventure, Sci-Fi","Aliens","James Cameron"
"8.3",120540719,"Adventure, Drama, War","Inglourious Basterds","Quentin Tarantino"
"8.3",130096601,"Drama","American Beauty","Sam Mendes"
"8.3",138433435,"Drama, Romance","Good Will Hunting","Gus Van Sant"
"8.3",159227644,"Drama, Thriller, War","1917","Sam Mendes"
"8.3",159600000,"Comedy, Crime, Drama","The Sting","George Roy Hill"
"8.3",191796233,"Animation, Adventure, Comedy","Toy Story","John Lasseter"
"8.3",309125409,"Action, Adventure, Fantasy","Star Wars: Episode VI - Return of the Jedi","Richard Marquand"
"8.2",7461,"Drama","Udaan","Vikramaditya Motwane"
"8.2",10177,"Drama","All About Eve","Joseph L. Mankiewicz"
"8.2",12562,"Crime, Thriller","Dial M for Murder","Alfred Hitchcock"
"8.2",39567,"Action, Biography, Crime","Paan Singh Tomar","Tigmanshu Dhulia"
"8.2",57226,"Crime, Drama, Thriller","Du rififi chez les hommes","Jules Dassin"
"8.2",96568,"Crime, Drama, Mystery","Rashômon","Akira Kurosawa"
"8.2",144501,"Drama, War","Mandariinid","Zaza Urushadze"
"8.2",234723,"Drama, Sci-Fi","Stalker","Andrei Tarkovsky"
"8.2",280015,"Comedy, Crime, Drama","Dom za vesanje","Emir Kusturica"
"8.2",342370,"Crime, Drama, Mystery","Talvar","Meghna Gulzar"
"8.2",733094,"Drama","Black","Sanjay Leela Bhansali"
"8.2",739478,"Crime, Drama, Mystery","Drishyam","Nishikant Kamat"
"8.2",898575,"Comedy, Drama","Chhichhore","Nitesh Tiwari"
"8.2",977375,"Action, Comedy, Romance","Sherlock Jr.","Buster Keaton"
"8.2",1105564,"Animation, Family, Fantasy","Tonari no Totoro","Hayao Miyazaki"
"8.2",1113541,"Drama, Family, Sport","Chak De! India","Shimit Amin"
"8.2",1223240,"Drama","Swades: We, the People","Ashutosh Gowariker"
"8.2",1229197,"Adventure, Comedy, Fantasy","Monty Python and the Holy Grail","Terry Gilliam"
"8.2",1429534,"Adventure, Comedy, Drama","Queen","Vikas Bahl"
"8.2",1626289,"Biography, Drama, Sport","Bhaag Milkha Bhaag","Rakeysh Omprakash Mehra"
"8.2",2197331,"Comedy, Crime, Drama","Rang De Basanti","Rakeysh Omprakash Mehra"
"8.2",3897569,"Action, Comedy, Crime","Lock, Stock and Two Smoking Barrels","Guy Ritchie"
"8.2",4135750,"Action, Drama, War","Ran","Akira Kurosawa"
"8.2",4186168,"Action, Drama, War","Uri: The Surgical Strike","Aditya Dhar"
"8.2",4711096,"Animation, Adventure, Family","Hauru no ugoku shiro","Hayao Miyazaki"
"8.2",5014000,"Adventure, Drama, Western","The Treasure of the Sierra Madre","John Huston"
"8.2",5450000,"Adventure, Comedy, Drama","The Gold Rush","Charles Chaplin"
"8.2",5509040,"Biography, Drama, History","Der Untergang","Oliver Hirschbiegel"
"8.2",6391436,"Drama, Mystery, Romance","El secreto de sus ojos","Juan José Campanella"
"8.2",12100000,"Adventure, Drama, History","The Great Escape","John Sturges"
"8.2",13657115,"Action, Drama, Sport","Warrior","Gavin O'Connor"
"8.2",20186659,"Action, Drama","Baahubali 2: The Conclusion","S.S. Rajamouli"
"8.2",23383987,"Biography, Drama, Sport","Raging Bull","Martin Scorsese"
"8.2",25000000,"Comedy, Music, Romance","Some Like It Hot","Billy Wilder"
"8.2",37634615,"Drama, Fantasy, War","Pan's Labyrinth","Guillermo del Toro"
"8.2",40222514,"Drama","There Will Be Blood","Paul Thomas Anderson"
"8.2",42438300,"Crime, Drama","Casino","Martin Scorsese"
"8.2",54513740,"Comedy, Crime, Drama","Three Billboards Outside Ebbing, Missouri","Martin McDonagh"
"8.2",64616940,"Crime, Drama, Mystery","L.A. Confidential","Curtis Hanson"
"8.2",67436818,"Crime, Drama, Thriller","Heat","Michael Mann"
"8.2",70511035,"Action, Drama, Sci-Fi","V for Vendetta","James McTeigue"
"8.2",83008852,"Action, Thriller","Die Hard","John McTiernan"
"8.2",85080171,"Biography, Comedy, Drama","Green Book","Peter Farrelly"
"8.2",101157447,"Drama, Western","Unforgiven","Clint Eastwood"
"8.2",116900694,"Biography, Crime, Drama","The Wolf of Wall Street","Martin Scorsese"
"8.2",128012934,"Mystery, Thriller","Shutter Island","Martin Scorsese"
"8.2",170742341,"Biography, Drama","A Beautiful Mind","Ron Howard"
"8.2",197171806,"Action, Adventure","Indiana Jones and the Last Crusade","Steven Spielberg"
"8.2",206852432,"Action, Adventure","Batman Begins","Christopher Nolan"
"8.2",293004164,"Animation, Adventure, Comedy","Up","Pete Docter"
"8.2",415004880,"Animation, Adventure, Comedy","Toy Story 3","Lee Unkrich"
"8.1",14131,"Crime, Drama, Mystery","Salinui chueok","Bong Joon Ho"
"8.1",21877,"Biography, Drama, History","La passion de Jeanne d'Arc","Carl Theodor Dreyer"
"8.1",39481,"Crime, Drama, Mystery","Le samouraï","Jean-Pierre Melville"
"8.1",55908,"Drama, War","La battaglia di Algeri","Gillo Pontecorvo"
"8.1",70147,"Adventure, Drama, Musical","Lagaan: Once Upon a Time in India","Ashutosh Gowariker"
"8.1",102021,"Biography, Drama, History","Andrei Rublev","Andrei Tarkovsky"
"8.1",165520,"Drama","Kis Uykusu","Nuri Bilge Ceylan"
"8.1",171082,"Comedy, Drama, War","Underground","Emir Kusturica"
"8.1",172885,"Drama, War","La Grande Illusion","Jean Renoir"
"8.1",177345,"Biography, Drama","Zerkalo","Andrei Tarkovsky"
"8.1",203300,"Comedy, Drama, Romance","The Shop Around the Corner","Ernst Lubitsch"
"8.1",259127,"Drama, Music, Romance","La leggenda del pianista sull'oceano","Giuseppe Tornatore"
"8.1",300000,"Comedy, Drama, Romance","Dil Chahta Hai","Farhan Akhtar"
"8.1",309811,"Crime, Drama","La haine","Mathieu Kassovitz"
"8.1",348660,"Comedy, Crime, Romance","Crna macka, beli macor","Emir Kusturica"
"8.1",449191,"Film-Noir, Mystery, Thriller","The Third Man","Carol Reed"
"8.1",495770,"Animation, Adventure, Fantasy","Kaze no tani no Naushika","Hayao Miyazaki"
"8.1",539540,"Drama, Romance","Sunrise: A Song of Two Humans","F.W. Murnau"
"8.1",600200,"Comedy, Crime, Drama","Chung Hing sam lam","Kar-Wai Wong"
"8.1",752045,"Drama","Le notti di Cabiria","Federico Fellini"
"8.1",857524,"Animation, Adventure, Drama","Song of the Sea","Tomm Moore"
"8.1",901610,"Action, Crime, Drama","Haider","Vishal Bhardwaj"
"8.1",923221,"Comedy, Drama, Fantasy","OMG: Oh My God!","Umesh Shukla"
"8.1",1033895,"Action, Adventure, Comedy","The General","Clyde Bruckman"
"8.1",1035953,"Mystery, Thriller","Kahaani","Sujoy Ghosh"
"8.1",1111061,"Action, Drama, War","Taegukgi hwinalrimyeo","Je-kyu Kang"
"8.1",1241223,"Drama, Thriller","Pink","Aniruddha Roy Chowdhury"
"8.1",1498210,"Drama, Music","Okuribito","Yôjirô Takita"
"8.1",1526000,"Drama","Jungfrukällan","Ingmar Bergman"
"8.1",1742348,"Drama","Viskningar och rop","Ingmar Bergman"
"8.1",2006788,"Drama, Romance, Thriller","Ah-ga-ssi","Chan-wook Park"
"8.1",2181987,"Drama","Paris, Texas","Wim Wenders"
"8.1",2217561,"Comedy, Drama, Romance","Lage Raho Munna Bhai","Rajkumar Hirani"
"8.1",2603061,"Drama, History, Romance","Dà hóng denglong gaogao guà","Yimou Zhang"
"8.1",2734044,"Drama, Romance","Fa yeung nin wah","Kar-Wai Wong"
"8.1",2804874,"Comedy, Drama, Romance","Barfi!","Anurag Basu"
"8.1",3107072,"Comedy, Drama, Thriller","Relatos salvajes","Damián Szifron"
